k=8 : a=4, b=60, c=56, length = 240, b == a+c - True, <lcm - True
k=8 : a=28, b=60, c=32, length = 240, b == a+c - True, <lcm - True
k=8 : a=32, b=60, c=28, length = 240, b == a+c - True, <lcm - True
k=8 : a=56, b=60, c=4, length = 240, b == a+c - True, <lcm - True
k=8 : a=30, b=72, c=42, length = 288, b == a+c - True, <lcm - True
k=8 : a=42, b=72, c=30, length = 288, b == a+c - True, <lcm - True
k=8 : a=24, b=84, c=60, length = 336, b == a+c - True, <lcm - True
k=8 : a=60, b=84, c=24, length = 336, b == a+c - True, <lcm - True
k=8 : a=28, b=88, c=60, length = 352, b == a+c - True, <lcm - True
k=8 : a=60, b=88, c=28, length = 352, b == a+c - True, <lcm - True
k=8 : a=42, b=90, c=48, length = 360, b == a+c - True, <lcm - True
k=8 : a=48, b=90, c=42, length = 360, b == a+c - True, <lcm - True
k=8 : a=52, b=112, c=60, length = 448, b == a+c - True, <lcm - True
k=8 : a=60, b=112, c=52, length = 448, b == a+c - True, <lcm - True
k=8 : a=56, b=116, c=60, length = 464, b == a+c - True, <lcm - True
k=8 : a=60, b=116, c=56, length = 464, b == a+c - True, <lcm - True
k=8 : a=1, b=120, c=119, length = 480, b == a+c - True, <lcm - True
k=8 : a=7, b=120, c=113, length = 480, b == a+c - True, <lcm - True
k=8 : a=8, b=120, c=112, length = 480, b == a+c - True, <lcm - True
k=8 : a=14, b=120, c=106, length = 480, b == a+c - True, <lcm - True
k=8 : a=15, b=120, c=105, length = 480, b == a+c - True, <lcm - True
k=8 : a=21, b=120, c=99, length = 480, b == a+c - True, <lcm - True
k=8 : a=22, b=120, c=98, length = 480, b == a+c - True, <lcm - True
k=8 : a=28, b=120, c=92, length = 480, b == a+c - True, <lcm - True
k=8 : a=29, b=120, c=91, length = 480, b == a+c - True, <lcm - True
k=8 : a=35, b=120, c=85, length = 480, b == a+c - True, <lcm - True
k=8 : a=36, b=120, c=84, length = 480, b == a+c - True, <lcm - True
k=8 : a=42, b=120, c=78, length = 480, b == a+c - True, <lcm - True
k=8 : a=43, b=120, c=77, length = 480, b == a+c - True, <lcm - True
k=8 : a=49, b=120, c=71, length = 480, b == a+c - True, <lcm - True
k=8 : a=50, b=120, c=70, length = 480, b == a+c - True, <lcm - True
k=8 : a=56, b=120, c=64, length = 480, b == a+c - True, <lcm - True
k=8 : a=57, b=120, c=63, length = 480, b == a+c - True, <lcm - True
k=8 : a=63, b=120, c=57, length = 480, b == a+c - True, <lcm - True
k=8 : a=64, b=120, c=56, length = 480, b == a+c - True, <lcm - True
k=8 : a=70, b=120, c=50, length = 480, b == a+c - True, <lcm - True
k=8 : a=71, b=120, c=49, length = 480, b == a+c - True, <lcm - True
k=8 : a=77, b=120, c=43, length = 480, b == a+c - True, <lcm - True
k=8 : a=78, b=120, c=42, length = 480, b == a+c - True, <lcm - True
k=8 : a=84, b=120, c=36, length = 480, b == a+c - True, <lcm - True
k=8 : a=85, b=120, c=35, length = 480, b == a+c - True, <lcm - True
k=8 : a=91, b=120, c=29, length = 480, b == a+c - True, <lcm - True
k=8 : a=92, b=120, c=28, length = 480, b == a+c - True, <lcm - True
k=8 : a=98, b=120, c=22, length = 480, b == a+c - True, <lcm - True
k=8 : a=99, b=120, c=21, length = 480, b == a+c - True, <lcm - True
k=8 : a=105, b=120, c=15, length = 480, b == a+c - True, <lcm - True
k=8 : a=106, b=120, c=14, length = 480, b == a+c - True, <lcm - True
k=8 : a=112, b=120, c=8, length = 480, b == a+c - True, <lcm - True
k=8 : a=113, b=120, c=7, length = 480, b == a+c - True, <lcm - True
k=8 : a=6, b=126, c=120, length = 504, b == a+c - True, <lcm - True
k=8 : a=30, b=126, c=96, length = 504, b == a+c - True, <lcm - True
k=8 : a=96, b=126, c=30, length = 504, b == a+c - True, <lcm - True
k=8 : a=120, b=126, c=6, length = 504, b == a+c - True, <lcm - True
k=8 : a=7, b=127, c=120, length = 508, b == a+c - True, <lcm - True
k=8 : a=120, b=127, c=7, length = 508, b == a+c - True, <lcm - True
k=8 : a=13, b=133, c=120, length = 532, b == a+c - True, <lcm - True
k=8 : a=120, b=133, c=13, length = 532, b == a+c - True, <lcm - True
k=8 : a=14, b=134, c=120, length = 536, b == a+c - True, <lcm - True
k=8 : a=120, b=134, c=14, length = 536, b == a+c - True, <lcm - True
k=8 : a=20, b=140, c=120, length = 560, b == a+c - True, <lcm - True
k=8 : a=60, b=140, c=80, length = 560, b == a+c - True, <lcm - True
k=8 : a=80, b=140, c=60, length = 560, b == a+c - True, <lcm - True
k=8 : a=120, b=140, c=20, length = 560, b == a+c - True, <lcm - True
k=8 : a=21, b=141, c=120, length = 564, b == a+c - True, <lcm - True
k=8 : a=120, b=141, c=21, length = 564, b == a+c - True, <lcm - True
k=8 : a=60, b=144, c=84, length = 576, b == a+c - True, <lcm - True
k=8 : a=84, b=144, c=60, length = 576, b == a+c - True, <lcm - True
k=8 : a=27, b=147, c=120, length = 588, b == a+c - True, <lcm - True
k=8 : a=120, b=147, c=27, length = 588, b == a+c - True, <lcm - True
k=8 : a=28, b=148, c=120, length = 592, b == a+c - True, <lcm - True
k=8 : a=120, b=148, c=28, length = 592, b == a+c - True, <lcm - True
k=8 : a=24, b=150, c=126, length = 600, b == a+c - True, <lcm - True
k=8 : a=126, b=150, c=24, length = 600, b == a+c - True, <lcm - True
k=8 : a=34, b=154, c=120, length = 616, b == a+c - True, <lcm - True
k=8 : a=120, b=154, c=34, length = 616, b == a+c - True, <lcm - True
k=8 : a=35, b=155, c=120, length = 620, b == a+c - True, <lcm - True
k=8 : a=120, b=155, c=35, length = 620, b == a+c - True, <lcm - True
k=8 : a=41, b=161, c=120, length = 644, b == a+c - True, <lcm - True
k=8 : a=120, b=161, c=41, length = 644, b == a+c - True, <lcm - True
k=8 : a=42, b=162, c=120, length = 648, b == a+c - True, <lcm - True
k=8 : a=120, b=162, c=42, length = 648, b == a+c - True, <lcm - True
k=8 : a=18, b=168, c=150, length = 672, b == a+c - True, <lcm - True
k=8 : a=30, b=168, c=138, length = 672, b == a+c - True, <lcm - True
k=8 : a=48, b=168, c=120, length = 672, b == a+c - True, <lcm - True
k=8 : a=60, b=168, c=108, length = 672, b == a+c - True, <lcm - True
k=8 : a=78, b=168, c=90, length = 672, b == a+c - True, <lcm - True
k=8 : a=90, b=168, c=78, length = 672, b == a+c - True, <lcm - True
k=8 : a=108, b=168, c=60, length = 672, b == a+c - True, <lcm - True
k=8 : a=120, b=168, c=48, length = 672, b == a+c - True, <lcm - True
k=8 : a=138, b=168, c=30, length = 672, b == a+c - True, <lcm - True
k=8 : a=150, b=168, c=18, length = 672, b == a+c - True, <lcm - True
k=8 : a=49, b=169, c=120, length = 676, b == a+c - True, <lcm - True
k=8 : a=120, b=169, c=49, length = 676, b == a+c - True, <lcm - True
k=8 : a=60, b=172, c=112, length = 688, b == a+c - True, <lcm - True
k=8 : a=112, b=172, c=60, length = 688, b == a+c - True, <lcm - True
k=8 : a=55, b=175, c=120, length = 700, b == a+c - True, <lcm - True
k=8 : a=120, b=175, c=55, length = 700, b == a+c - True, <lcm - True
k=8 : a=56, b=176, c=120, length = 704, b == a+c - True, <lcm - True
k=8 : a=120, b=176, c=56, length = 704, b == a+c - True, <lcm - True
k=8 : a=12, b=180, c=168, length = 720, b == a+c - True, <lcm - True
k=8 : a=28, b=180, c=152, length = 720, b == a+c - True, <lcm - True
k=8 : a=40, b=180, c=140, length = 720, b == a+c - True, <lcm - True
k=8 : a=56, b=180, c=124, length = 720, b == a+c - True, <lcm - True
k=8 : a=68, b=180, c=112, length = 720, b == a+c - True, <lcm - True
k=8 : a=84, b=180, c=96, length = 720, b == a+c - True, <lcm - True
k=8 : a=96, b=180, c=84, length = 720, b == a+c - True, <lcm - True
k=8 : a=112, b=180, c=68, length = 720, b == a+c - True, <lcm - True
k=8 : a=124, b=180, c=56, length = 720, b == a+c - True, <lcm - True
k=8 : a=140, b=180, c=40, length = 720, b == a+c - True, <lcm - True
k=8 : a=152, b=180, c=28, length = 720, b == a+c - True, <lcm - True
k=8 : a=168, b=180, c=12, length = 720, b == a+c - True, <lcm - True
k=8 : a=62, b=182, c=120, length = 728, b == a+c - True, <lcm - True
k=8 : a=120, b=182, c=62, length = 728, b == a+c - True, <lcm - True
k=8 : a=63, b=183, c=120, length = 732, b == a+c - True, <lcm - True
k=8 : a=120, b=183, c=63, length = 732, b == a+c - True, <lcm - True
k=8 : a=69, b=189, c=120, length = 756, b == a+c - True, <lcm - True
k=8 : a=120, b=189, c=69, length = 756, b == a+c - True, <lcm - True
k=8 : a=70, b=190, c=120, length = 760, b == a+c - True, <lcm - True
k=8 : a=120, b=190, c=70, length = 760, b == a+c - True, <lcm - True
k=8 : a=42, b=192, c=150, length = 768, b == a+c - True, <lcm - True
k=8 : a=150, b=192, c=42, length = 768, b == a+c - True, <lcm - True
k=8 : a=16, b=196, c=180, length = 784, b == a+c - True, <lcm - True
k=8 : a=60, b=196, c=136, length = 784, b == a+c - True, <lcm - True
k=8 : a=76, b=196, c=120, length = 784, b == a+c - True, <lcm - True
k=8 : a=120, b=196, c=76, length = 784, b == a+c - True, <lcm - True
k=8 : a=136, b=196, c=60, length = 784, b == a+c - True, <lcm - True
k=8 : a=180, b=196, c=16, length = 784, b == a+c - True, <lcm - True
k=8 : a=77, b=197, c=120, length = 788, b == a+c - True, <lcm - True
k=8 : a=120, b=197, c=77, length = 788, b == a+c - True, <lcm - True
k=8 : a=30, b=198, c=168, length = 792, b == a+c - True, <lcm - True
k=8 : a=168, b=198, c=30, length = 792, b == a+c - True, <lcm - True
k=8 : a=60, b=200, c=140, length = 800, b == a+c - True, <lcm - True
k=8 : a=140, b=200, c=60, length = 800, b == a+c - True, <lcm - True
k=8 : a=83, b=203, c=120, length = 812, b == a+c - True, <lcm - True
k=8 : a=120, b=203, c=83, length = 812, b == a+c - True, <lcm - True
k=8 : a=84, b=204, c=120, length = 816, b == a+c - True, <lcm - True
k=8 : a=120, b=204, c=84, length = 816, b == a+c - True, <lcm - True
k=8 : a=28, b=208, c=180, length = 832, b == a+c - True, <lcm - True
k=8 : a=180, b=208, c=28, length = 832, b == a+c - True, <lcm - True
k=8 : a=18, b=210, c=192, length = 840, b == a+c - True, <lcm - True
k=8 : a=24, b=210, c=186, length = 840, b == a+c - True, <lcm - True
k=8 : a=42, b=210, c=168, length = 840, b == a+c - True, <lcm - True
k=8 : a=48, b=210, c=162, length = 840, b == a+c - True, <lcm - True
k=8 : a=66, b=210, c=144, length = 840, b == a+c - True, <lcm - True
k=8 : a=72, b=210, c=138, length = 840, b == a+c - True, <lcm - True
k=8 : a=90, b=210, c=120, length = 840, b == a+c - True, <lcm - True
k=8 : a=96, b=210, c=114, length = 840, b == a+c - True, <lcm - True
k=8 : a=114, b=210, c=96, length = 840, b == a+c - True, <lcm - True
k=8 : a=120, b=210, c=90, length = 840, b == a+c - True, <lcm - True
k=8 : a=138, b=210, c=72, length = 840, b == a+c - True, <lcm - True
k=8 : a=144, b=210, c=66, length = 840, b == a+c - True, <lcm - True
k=8 : a=162, b=210, c=48, length = 840, b == a+c - True, <lcm - True
k=8 : a=168, b=210, c=42, length = 840, b == a+c - True, <lcm - True
k=8 : a=186, b=210, c=24, length = 840, b == a+c - True, <lcm - True
k=8 : a=192, b=210, c=18, length = 840, b == a+c - True, <lcm - True
k=8 : a=91, b=211, c=120, length = 844, b == a+c - True, <lcm - True
k=8 : a=120, b=211, c=91, length = 844, b == a+c - True, <lcm - True
k=8 : a=6, b=216, c=210, length = 864, b == a+c - True, <lcm - True
k=8 : a=90, b=216, c=126, length = 864, b == a+c - True, <lcm - True
k=8 : a=126, b=216, c=90, length = 864, b == a+c - True, <lcm - True
k=8 : a=210, b=216, c=6, length = 864, b == a+c - True, <lcm - True
k=8 : a=97, b=217, c=120, length = 868, b == a+c - True, <lcm - True
k=8 : a=120, b=217, c=97, length = 868, b == a+c - True, <lcm - True
k=8 : a=98, b=218, c=120, length = 872, b == a+c - True, <lcm - True
k=8 : a=120, b=218, c=98, length = 872, b == a+c - True, <lcm - True
k=8 : a=44, b=224, c=180, length = 896, b == a+c - True, <lcm - True
k=8 : a=60, b=224, c=164, length = 896, b == a+c - True, <lcm - True
k=8 : a=104, b=224, c=120, length = 896, b == a+c - True, <lcm - True
k=8 : a=120, b=224, c=104, length = 896, b == a+c - True, <lcm - True
k=8 : a=164, b=224, c=60, length = 896, b == a+c - True, <lcm - True
k=8 : a=180, b=224, c=44, length = 896, b == a+c - True, <lcm - True
k=8 : a=105, b=225, c=120, length = 900, b == a+c - True, <lcm - True
k=8 : a=120, b=225, c=105, length = 900, b == a+c - True, <lcm - True
k=8 : a=60, b=228, c=168, length = 912, b == a+c - True, <lcm - True
k=8 : a=168, b=228, c=60, length = 912, b == a+c - True, <lcm - True
k=8 : a=111, b=231, c=120, length = 924, b == a+c - True, <lcm - True
k=8 : a=120, b=231, c=111, length = 924, b == a+c - True, <lcm - True
k=8 : a=112, b=232, c=120, length = 928, b == a+c - True, <lcm - True
k=8 : a=120, b=232, c=112, length = 928, b == a+c - True, <lcm - True
k=8 : a=24, b=234, c=210, length = 936, b == a+c - True, <lcm - True
k=8 : a=210, b=234, c=24, length = 936, b == a+c - True, <lcm - True
k=8 : a=56, b=236, c=180, length = 944, b == a+c - True, <lcm - True
k=8 : a=180, b=236, c=56, length = 944, b == a+c - True, <lcm - True
k=8 : a=118, b=238, c=120, length = 952, b == a+c - True, <lcm - True
k=8 : a=120, b=238, c=118, length = 952, b == a+c - True, <lcm - True
k=8 : a=119, b=239, c=120, length = 956, b == a+c - True, <lcm - True
k=8 : a=120, b=239, c=119, length = 956, b == a+c - True, <lcm - True
k=8 : a=2, b=240, c=238, length = 960, b == a+c - True, <lcm - True
k=8 : a=7, b=240, c=233, length = 960, b == a+c - True, <lcm - True
k=8 : a=9, b=240, c=231, length = 960, b == a+c - True, <lcm - True
k=8 : a=14, b=240, c=226, length = 960, b == a+c - True, <lcm - True
k=8 : a=16, b=240, c=224, length = 960, b == a+c - True, <lcm - True
k=8 : a=21, b=240, c=219, length = 960, b == a+c - True, <lcm - True
k=8 : a=23, b=240, c=217, length = 960, b == a+c - True, <lcm - True
k=8 : a=28, b=240, c=212, length = 960, b == a+c - True, <lcm - True
k=8 : a=30, b=240, c=210, length = 960, b == a+c - True, <lcm - True
k=8 : a=35, b=240, c=205, length = 960, b == a+c - True, <lcm - True
k=8 : a=37, b=240, c=203, length = 960, b == a+c - True, <lcm - True
k=8 : a=42, b=240, c=198, length = 960, b == a+c - True, <lcm - True
k=8 : a=44, b=240, c=196, length = 960, b == a+c - True, <lcm - True
k=8 : a=49, b=240, c=191, length = 960, b == a+c - True, <lcm - True
k=8 : a=51, b=240, c=189, length = 960, b == a+c - True, <lcm - True
k=8 : a=56, b=240, c=184, length = 960, b == a+c - True, <lcm - True
k=8 : a=58, b=240, c=182, length = 960, b == a+c - True, <lcm - True
k=8 : a=63, b=240, c=177, length = 960, b == a+c - True, <lcm - True
k=8 : a=65, b=240, c=175, length = 960, b == a+c - True, <lcm - True
k=8 : a=70, b=240, c=170, length = 960, b == a+c - True, <lcm - True
k=8 : a=72, b=240, c=168, length = 960, b == a+c - True, <lcm - True
k=8 : a=77, b=240, c=163, length = 960, b == a+c - True, <lcm - True
k=8 : a=79, b=240, c=161, length = 960, b == a+c - True, <lcm - True
k=8 : a=84, b=240, c=156, length = 960, b == a+c - True, <lcm - True
k=8 : a=86, b=240, c=154, length = 960, b == a+c - True, <lcm - True
k=8 : a=91, b=240, c=149, length = 960, b == a+c - True, <lcm - True
k=8 : a=93, b=240, c=147, length = 960, b == a+c - True, <lcm - True
